ticker,sector,marketCap,trailingPE,forwardPE,priceToBook,enterpriseToRevenue,returnOnEquity,returnOnAssets,profitMargins,operatingMargins,debtToEquity,currentRatio,quickRatio,beta,revenueGrowth,earningsGrowth
GM,Consumer Cyclical,72405524480,14.51336,7.194892,1.0690188,0.986,0.04442,0.02014,0.01625,0.056739997,195.437,1.229,0.979,1.305,-0.003,-0.496
GPC,Consumer Cyclical,18117750784,22.416525,15.376623,3.7850564,1.002,0.16994,0.04434,0.0336,0.0643,133.159,1.137,0.443,0.745,0.049,0.0
GILD,Healthcare,150410608640,18.764706,16.31494,6.9895635,5.733,0.40706003,0.12571,0.27882,0.45231,116.243,1.453,1.105,0.331,0.03,1.43
GPN,Industrials,19129569280,11.965098,6.1601562,0.8230517,3.29,0.07233,0.0325,0.17365,0.3184,69.198,0.855,0.413,0.824,0.005,1.131
GL,Financial Services,10641434624,9.533381,9.695203,1.8544608,2.228,0.22277,0.033069998,0.19363001,0.34092999,55.217,0.695,0.552,0.479,0.04,0.375
GDDY,Technology,17785161728,22.110157,19.144562,189.46904,4.158,3.69454,0.08575,0.17013,0.23884001,4217.211,0.569,0.359,0.947,0.103,0.144
GS,Financial Services,258693332992,17.362047,20.562078,2.455498,0.078,0.13532,0.009430001,0.29073998,0.37203997,586.142,1.657,1.49,1.348,0.207,0.458
HAL,Energy,24256530432,18.84106,8.753846,2.350657,1.379,0.12788,0.0761,0.05913,0.12857,83.613,1.955,1.207,0.819,-0.017,-0.969
HIG,Financial Services,36392042496,10.591652,11.148148,1.9978387,1.304,0.20069,0.03482,0.12745,0.18916,23.675,1.796,1.056,0.629,0.07,0.473
HAS,Consumer Cyclical,11381331968,,18.306997,28.004145,3.244,-0.62839,0.08862001,-0.12814,0.24584,771.392,1.705,1.235,0.541,0.083,0.031
HCA,Healthcare,113884643328,18.83514,19.824848,-20.968506,2.145,,0.12198,0.0853,0.15474,,0.854,0.644,1.367,0.096,0.426
DOC,Real Estate,11828045824,,68.08,1.5568972,7.797,-0.00115,0.01588,-0.01359,0.18601999,114.248,3.653,1.474,1.095,0.008,
HSIC,Healthcare,8927779840,23.223974,14.157693,2.5971003,1.044,0.08347999,0.042329997,0.03022,0.0614,70.224,1.396,0.597,0.888,0.052,0.077
HSY,Consumer Defensive,36967727104,27.249626,21.702383,8.098623,3.616,0.31013,0.09329,0.118360005,0.13542,125.764,1.363,0.66,0.177,0.065,-0.382
HPE,Technology,30782771200,27.447058,11.109525,1.2464604,1.383,0.0023,0.017180001,0.00166,0.06995,90.349,1.014,0.604,1.349,0.144,-0.889
HLT,Consumer Cyclical,64031502336,39.51379,34.073845,-12.864433,15.321,,0.09635,0.34188998,0.60327,,0.664,0.577,1.156,0.035,0.29
HOLX,Healthcare,16711205888,30.108435,15.883475,3.30541,4.178,0.11116,0.07299,0.13796,0.32736,52.037,3.754,2.872,0.704,0.062,0.111
