ticker,sector,marketCap,trailingPE,forwardPE,priceToBook,enterpriseToRevenue,returnOnEquity,returnOnAssets,profitMargins,operatingMargins,debtToEquity,currentRatio,quickRatio,beta,revenueGrowth,earningsGrowth,pegRatio
T,Communication Services,180922761216,8.312704,11.392858,1.6387337,2.721,0.19139999,0.040209997,0.17870001,0.2158,124.412,1.013,0.707,0.598,0.016,,
ATO,Utilities,27500804096,22.768408,23.820728,2.0266922,7.783,0.09323,0.037130002,0.2549,0.30696,68.616,0.773,0.431,0.749,0.121,0.256,0.9304971874999999
ADSK,Technology,66083250176,60.242718,33.796295,22.7356,9.614,0.40333998,0.097449996,0.16129999,0.25688,94.504,0.823,0.654,1.477,0.18,0.26,1.2998575
ADP,Technology,104180916224,25.387955,23.659613,16.337187,5.08,0.70572996,0.06624,0.19788,0.25891,154.917,1.054,0.266,0.858,0.071,0.064,3.69681453125
AZO,Consumer Cyclical,63773122560,26.386059,21.952559,-18.678196,4.01,,0.12353,0.13191,0.19159001,,0.876,0.101,0.41,0.006,-0.056,-3.9200998214285714
AVB,Real Estate,25788411904,22.087805,32.693142,2.1456409,11.291,0.09754,0.02813,0.38122,0.2928,73.165,0.707,0.09,0.748,0.044,0.024,13.6221425
AVY,Consumer Cyclical,13311812608,19.526077,16.370722,6.040264,1.883,0.30211002,0.08288,0.07932,0.12687999,171.013,1.264,0.793,1.015,0.015,-0.053,-3.0888154716981133
AXON,Industrials,42434101248,169.63722,86.73387,14.011568,16.454,0.10028,-0.00032000002,0.100509994,-0.00229,69.33,3.124,2.729,1.369,0.306,,
BKR,Energy,48825573376,17.062069,19.252918,2.6881077,1.889,0.1689,0.057729997,0.104329996,0.13524,33.042,1.409,0.744,0.894,0.015,-0.208,-0.9256210576923077
BALL,Consumer Cyclical,13174727680,18.836576,13.7138815,2.3972466,1.572,0.117469996,0.04535,0.05357,0.11542,138.426,1.105,0.675,1.141,0.096,0.811,0.1690984155363748
BAC,Financial Services,393975529472,14.532786,14.532786,1.4015441,3.975,0.09871,0.00881,0.29224002,0.35292998,,,,1.304,0.126,0.315,0.4613582857142857
BAX,Healthcare,9684811776,,6.5416665,1.3372135,1.601,-0.04658,0.02849,-0.030940002,0.10123,134.627,1.837,0.954,0.611,0.05,,
BDX,Healthcare,54593933312,32.67067,12.10871,2.1410265,3.376,0.06544,0.041739997,0.07683,0.17858,78.85,1.113,0.438,0.285,0.083,0.252,0.4805043650793651
BRK-B,Financial Services,1093013667840,16.207613,25.231573,0.0010440486,-0.676,0.1017,0.04775,0.18129,0.41103,18.166,2.722,2.55,0.709,0.021,0.172,1.4669519186046514
BBY,Consumer Cyclical,15827752960,24.716171,10.94883,5.9478993,0.453,0.22493,0.06519,0.015420001,0.039809998,154.278,1.045,0.192,1.389,0.024,-0.476,-0.23001743697478994
TECH,Healthcare,9808409600,128.46939,28.744291,4.9873238,8.266,0.038,0.060900003,0.06409,0.1451,20.067,4.217,2.275,1.467,-0.01,0.143,2.0100902797202798
